tweet_id,timestamp,platform_source,dog_name,dog_stage,number_of_images,predicted_dog_breed,prediction1,confidence_level_prediction1,prediction1_is_dog,prediction2,confidence_level_prediction2,prediction2_is_dog,prediction3,confidence_level_prediction3,prediction3_is_dog,rating_numerator,rating_denominator,favorite_count,retweet_count
892177421306343426,2017-08-01 00:17:27,Twitter for IPhone,Tilly,,1.0,Chihuahua,Chihuahua,0.323581,True,Pekinese,0.0906465,True,papillon,0.0689569,True,13.0,10.0,30200.0,5466.0
891815181378084864,2017-07-31 00:18:03,Twitter for IPhone,Archie,,1.0,Chihuahua,Chihuahua,0.716012,True,malamute,0.078253,True,kelpie,0.0313789,True,12.0,10.0,22732.0,3607.0
891689557279858688,2017-07-30 15:58:51,Twitter for IPhone,Darla,,1.0,,paper_towel,0.1702779999999999,False,Labrador_retriever,0.1680859999999999,True,spatula,0.0408359,False,13.0,10.0,38141.0,7505.0
891327558926688256,2017-07-29 16:00:24,Twitter for IPhone,Franklin,,2.0,basset,basset,0.555712,True,English_springer,0.2257699999999999,True,German_short-haired_pointer,0.175219,True,12.0,10.0,36410.0,8060.0
891087950875897856,2017-07-29 00:08:17,Twitter for IPhone,,,1.0,Chesapeake_Bay_retriever,Chesapeake_Bay_retriever,0.425595,True,Irish_terrier,0.116317,True,Indian_elephant,0.0769021999999999,False,13.0,10.0,18369.0,2703.0
890971913173991426,2017-07-28 16:27:12,Twitter for IPhone,Jax,,1.0,Appenzeller,Appenzeller,0.341703,True,Border_collie,0.199287,True,ice_lolly,0.193548,False,13.0,10.0,10690.0,1746.0
890729181411237888,2017-07-28 00:22:40,Twitter for IPhone,,,2.0,Pomeranian,Pomeranian,0.566142,True,Eskimo_dog,0.1784059999999999,True,Pembroke,0.0765069,True,13.0,10.0,58744.0,16413.0
890609185150312448,2017-07-27 16:25:51,Twitter for IPhone,Zoey,,1.0,Irish_terrier,Irish_terrier,0.4875739999999999,True,Irish_setter,0.193054,True,Chesapeake_Bay_retriever,0.118184,True,13.0,10.0,25285.0,3754.0
890240255349198849,2017-07-26 15:59:51,Twitter for IPhone,Cassie,doggo,1.0,Pembroke,Pembroke,0.511319,True,Cardigan,0.451038,True,Chihuahua,0.0292482,True,14.0,10.0,28838.0,6340.0
890006608113172480,2017-07-26 00:31:25,Twitter for IPhone,Koda,,1.0,Samoyed,Samoyed,0.957979,True,Pomeranian,0.0138835,True,chow,0.00816748,True,13.0,10.0,27835.0,6378.0
889880896479866881,2017-07-25 16:11:53,Twitter for IPhone,Bruno,,1.0,French_bulldog,French_bulldog,0.377417,True,Labrador_retriever,0.151317,True,muzzle,0.0829811,False,13.0,10.0,25299.0,4325.0
889665388333682689,2017-07-25 01:55:32,Twitter for IPhone,,puppo,1.0,Pembroke,Pembroke,0.966327,True,Cardigan,0.0273557,True,basenji,0.00463323,True,13.0,10.0,43416.0,8680.0
889638837579907072,2017-07-25 00:10:02,Twitter for IPhone,Ted,,1.0,French_bulldog,French_bulldog,0.99165,True,boxer,0.00212864,True,Staffordshire_bullterrier,0.00149818,True,12.0,10.0,24399.0,3874.0
